Haushaltsjahr;Haushaltsstufe 0;Fachgruppe;katkey;EXEMPLARANZ;PREIS;Bestellpreis
;;;1910734;1,00;12,00;13,00
;;;1910953;1,00;10,00;11,00
;;;1911868;1,00;10,00;11,00
;;;1911901;1,00;16,00;18,00
;;;1911965;1,00;20,00;22,00
;;;1912009;1,00;11,00;12,00
;;;1912245;1,00;20,00;22,00
;;;1912272;1,00;7,00;8,00
;;;1912667;1,00;"0,00";"0,00"
;;;1912668;1,00;"0,00";"0,00"
;;;1912750;1,00;16,00;18,00
;;;1913604;1,00;13,00;15,00
;;;1913646;1,00;16,00;18,00
;;;1913873;1,00;13,00;14,00
;;;1914011;1,00;11,00;12,00
;;;1914260;1,00;18,00;20,00
;;;1914265;1,00;12,00;13,00
;;;1914445;1,00;13,00;14,00
;;;1914616;1,00;14,00;15,00
;;;1914771;1,00;14,00;15,00
;;;1914865;1,00;13,00;14,00
;;;1914870;1,00;23,00;25,00
;;;1914906;1,00;19,00;20,00
;;;1915051;1,00;16,00;18,00
;;;1915155;1,00;20,00;22,00
;;;1915256;1,00;23,00;26,00
;;;1915620;1,00;18,00;20,00
;;;1915667;1,00;7,00;8,00
;;;1915819;1,00;18,00;20,00
;;;1915859;1,00;16,00;18,00
;;;1916307;1,00;15,00;17,00
;;;1916331;1,00;12,00;13,00
;;;1917102;1,00;9,00;11,00
;;;1917211;1,00;20,00;20,00
;;;1917747;1,00;23,00;25,00
;;;1917924;1,00;7,00;8,00
;;;1918108;1,00;"0,00";"0,00"
;;;1918385;1,00;13,00;15,00
;;;1918392;1,00;9,00;10,00
;;;1918414;1,00;"0,00";"0,00"
;;;1918419;1,00;15,00;17,00
;;;1918443;1,00;13,00;14,00
;;;1918446;1,00;11,00;12,00
;;;1918514;1,00;12,00;13,00
;;;1918600;1,00;13,00;14,00
;;;1918604;1,00;12,00;13,00
;;;1918707;1,00;"0,00";"0,00"
;;;1918852;1,00;18,00;20,00
;;;1918897;1,00;13,00;14,00
;;;1918980;1,00;13,00;14,00
;;;1919089;1,00;22,00;24,00
;;;1919102;1,00;23,00;26,00
;;;1919127;1,00;14,00;15,00
;;;1919881;1,00;11,00;12,00
;;;1919895;1,00;27,00;30,00
;;;1919899;1,00;13,00;15,00
;;;1920089;1,00;14,00;15,00
;;;1920488;1,00;9,00;10,00
;;;1920614;1,00;13,00;14,00
;;;1920722;2,00;37,00;40,00
;;;1920867;1,00;12,00;13,00
;;;1920895;1,00;6,00;7,00
;;;1921488;1,00;17,00;18,00
;;;1921698;1,00;14,00;15,00
;;;1921782;1,00;14,00;15,00
;;;1921832;1,00;7,00;8,00
;;;1922023;1,00;14,00;15,00
;;;1922071;1,00;"0,00";"0,00"
;;;1922091;1,00;15,00;17,00
;;;1922110;1,00;22,00;24,00
;;;1922349;1,00;13,00;14,00
;;;1922373;1,00;22,00;24,00
;;;1922406;1,00;14,00;16,00
;;;1922511;1,00;13,00;14,00
;;;1922633;1,00;13,00;15,00
;;;1922716;1,00;"0,00";"0,00"
;;;1922813;1,00;18,00;20,00
;;;1922843;1,00;15,00;17,00
;;;1922961;1,00;7,00;8,00
;;;1923080;1,00;21,00;23,00
;;;1923279;1,00;11,00;12,00
;;;1923406;1,00;11,00;12,00
;;;1923753;1,00;"0,00";"0,00"
;;;1923876;1,00;23,00;25,00
;;;1924142;1,00;22,00;24,00
;;;1924205;1,00;15,00;17,00
;;;1924247;1,00;21,00;23,00
;;;1924346;1,00;18,00;20,00
;;;1924401;1,00;15,00;17,00
;;;1924463;1,00;16,00;18,00
;;;1924656;1,00;13,00;14,00
;;;1924677;1,00;13,00;14,00
;;;1924805;1,00;23,00;26,00
;;;1924847;1,00;14,00;16,00
;;;1925034;1,00;14,00;16,00
;;;1925135;1,00;14,00;15,00
;;;1925211;2,00;37,00;40,00
;;;1925219;1,00;11,00;12,00
;;;1925223;1,00;14,00;15,00
;;;1925227;1,00;14,00;15,00
;;;1925247;1,00;13,00;14,00
