Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2024-01,Stadtbibliothek,212593,39811,15572
2024-01,Plagwitz,18867,7808,2915
2024-01,Südvorstadt,14205,7399,2279
2024-01,Gohlis,21746,8095,3328
2024-01,Volkmarsdorf,2331,1884,357
2024-01,Schönefeld,3331,3181,609
2024-01,Paunsdorf,7498,3777,934
2024-01,Reudnitz,5474,3525,1033
2024-01,Mockau,3047,2279,535
2024-01,Grünau-Mitte,4012,2051,578
2024-01,Grünau-Nord,3362,1736,391
2024-01,Grünau-Süd,3784,1993,540
2024-01,Fahrbibliothek,5699,2341,1322
2024-01,Böhlitz-Ehrenberg,5789,2210,883
2024-01,Lützschena-Stahmeln,1200,332,202
2024-01,Wiederitzsch,2275,569,407
2024-01,Holzhausen,2068,484,332
2024-01,Onleihe,30363,17498,
2024-01,Overdrive,1428,1031,
2024-01,Buchsommer,,,
2024-01,weitere Online-Dienste,66868,367461,
2024-02,Stadtbibliothek,378183,71412,17536
2024-02,Plagwitz,33630,13948,3368
2024-02,Südvorstadt,25277,13544,2557
2024-02,Gohlis,38838,13670,3704
2024-02,Volkmarsdorf,4288,3400,426
2024-02,Schönefeld,6276,5756,718
2024-02,Paunsdorf,13472,6700,1063
2024-02,Reudnitz,9422,6209,1172
2024-02,Mockau,5653,4107,619
2024-02,Grünau-Mitte,7101,3650,646
2024-02,Grünau-Nord,5535,2991,435
2024-02,Grünau-Süd,6532,3655,608
2024-02,Fahrbibliothek,9600,4208,1475
2024-02,Böhlitz-Ehrenberg,11078,4435,975
2024-02,Lützschena-Stahmeln,1944,611,224
2024-02,Wiederitzsch,4204,972,443
2024-02,Holzhausen,4003,895,360
2024-02,Onleihe,58606,33952,
2024-02,Overdrive,2660,1920,
2024-02,Buchsommer,,,
2024-02,weitere Online-Dienste,124928,614130,
2024-03,Stadtbibliothek,585654,107687,19174
2024-03,Plagwitz,49377,27931,3712
2024-03,Südvorstadt,37237,20431,2783
2024-03,Gohlis,56820,21353,4071
2024-03,Volkmarsdorf,6181,4781,465
2024-03,Schönefeld,9210,8896,793
2024-03,Paunsdorf,20404,10200,1242
2024-03,Reudnitz,13740,9162,1309
2024-03,Mockau,8407,6328,689
2024-03,Grünau-Mitte,10548,5495,710
2024-03,Grünau-Nord,8160,4852,521
2024-03,Grünau-Süd,9508,5366,654
2024-03,Fahrbibliothek,14375,6508,1610
2024-03,Böhlitz-Ehrenberg,16641,6623,1052
2024-03,Lützschena-Stahmeln,2847,877,245
2024-03,Wiederitzsch,6447,1391,480
2024-03,Holzhausen,5922,1378,391
2024-03,Onleihe,91122,51423,
2024-03,Overdrive,4210,3037,
2024-03,Buchsommer,,,
2024-03,weitere Online-Dienste,183799,949203,
2024-04,Stadtbibliothek,787791,144993,20529
2024-04,Plagwitz,64182,36397,3981
2024-04,Südvorstadt,48616,26959,2976
2024-04,Gohlis,74446,28535,4347
2024-04,Volkmarsdorf,8284,6271,491
2024-04,Schönefeld,12393,11624,839
2024-04,Paunsdorf,27243,13774,1316
2024-04,Reudnitz,18148,12258,1389
2024-04,Mockau,11180,8207,725
2024-04,Grünau-Mitte,14266,7369,752
2024-04,Grünau-Nord,10930,6921,572
2024-04,Grünau-Süd,12555,7166,691
2024-04,Fahrbibliothek,18517,7956,1682
2024-04,Böhlitz-Ehrenberg,22236,8974,1106
2024-04,Lützschena-Stahmeln,3660,1115,254
2024-04,Wiederitzsch,8502,1585,511
2024-04,Holzhausen,7488,1759,407
2024-04,Onleihe,120976,68160,
2024-04,Overdrive,5680,4108,
2024-04,Buchsommer,,,
2024-04,weitere Online-Dienste,246726,1411451,
2024-05,Stadtbibliothek,976005,177270,21532
2024-05,Plagwitz,78403,43426,4222
2024-05,Südvorstadt,60305,33458,3097
2024-05,Gohlis,91800,34587,4546
2024-05,Volkmarsdorf,10104,7962,519
2024-05,Schönefeld,15250,14533,872
2024-05,Paunsdorf,32383,15884,1350
2024-05,Reudnitz,22122,15025,1458
2024-05,Mockau,13765,9928,747
2024-05,Grünau-Mitte,17612,8848,787
2024-05,Grünau-Nord,13751,8523,590
2024-05,Grünau-Süd,15419,8461,717
2024-05,Fahrbibliothek,22991,10026,1758
2024-05,Böhlitz-Ehrenberg,27599,10968,1129
2024-05,Lützschena-Stahmeln,4490,1356,261
2024-05,Wiederitzsch,10226,1959,527
2024-05,Holzhausen,8772,2097,417
2024-05,Onleihe,151350,85376,
2024-05,Overdrive,7241,5237,
2024-05,Buchsommer,,,
2024-05,weitere Online-Dienste,307602,1898168,
2024-06,Stadtbibliothek,1171524,210645,22530
2024-06,Plagwitz,92132,48249,4450
2024-06,Südvorstadt,70719,39783,3230
2024-06,Gohlis,108110,41117,4824
2024-06,Volkmarsdorf,11943,9390,541
2024-06,Schönefeld,17786,17241,912
2024-06,Paunsdorf,38763,19608,1419
2024-06,Reudnitz,26307,17539,1506
2024-06,Mockau,16443,11851,787
2024-06,Grünau-Mitte,20634,10927,829
2024-06,Grünau-Nord,16548,10601,614
2024-06,Grünau-Süd,18147,10453,753
2024-06,Fahrbibliothek,26656,11868,1806
2024-06,Böhlitz-Ehrenberg,32713,13305,1187
2024-06,Lützschena-Stahmeln,5542,1678,276
2024-06,Wiederitzsch,12327,2583,571
2024-06,Holzhausen,10547,2612,435
2024-06,Onleihe,182236,102412,
2024-06,Overdrive,8727,6292,
2024-06,Buchsommer,,,
2024-06,weitere Online-Dienste,367405,2257849,
2024-07,Stadtbibliothek,1375468,244208,23531
2024-07,Plagwitz,107158,55526,4647
2024-07,Südvorstadt,81610,46184,3327
2024-07,Gohlis,126296,48124,4999
2024-07,Volkmarsdorf,13638,10505,559
2024-07,Schönefeld,20586,19659,931
2024-07,Paunsdorf,45853,23185,1478
2024-07,Reudnitz,30649,20127,1565
2024-07,Mockau,19283,13708,816
2024-07,Grünau-Mitte,23940,12553,849
2024-07,Grünau-Nord,19451,12073,626
2024-07,Grünau-Süd,21571,12316,780
2024-07,Fahrbibliothek,27877,12098,1831
2024-07,Böhlitz-Ehrenberg,38467,15570,1218
2024-07,Lützschena-Stahmeln,6227,1894,281
2024-07,Wiederitzsch,14365,3164,598
2024-07,Holzhausen,12234,2984,446
2024-07,Onleihe,216296,121115,
2024-07,Overdrive,10285,7356,
2024-07,Buchsommer,,,
2024-07,weitere Online-Dienste,432988,2634381,
2024-08,Stadtbibliothek,1572800,278320,24544
2024-08,Plagwitz,121417,63086,4796
2024-08,Südvorstadt,92289,52190,3426
2024-08,Gohlis,143559,54201,5180
2024-08,Volkmarsdorf,15509,11712,611
2024-08,Schönefeld,23083,21455,960
2024-08,Paunsdorf,52402,26716,1515
2024-08,Reudnitz,35013,22833,1660
2024-08,Mockau,21999,15469,835
2024-08,Grünau-Mitte,27264,14437,877
2024-08,Grünau-Nord,22133,13970,651
2024-08,Grünau-Süd,24669,14646,808
2024-08,Fahrbibliothek,30370,13209,1857
2024-08,Böhlitz-Ehrenberg,44500,17994,1322
2024-08,Lützschena-Stahmeln,7260,2182,288
2024-08,Wiederitzsch,15663,3517,613
2024-08,Holzhausen,12928,3166,452
2024-08,Onleihe,247994,139028,
2024-08,Overdrive,11972,8506,
2024-08,Buchsommer,5104,,
2024-08,weitere Online-Dienste,507323,2829454,
2024-09,Stadtbibliothek,1769871,311442,25471
2024-09,Plagwitz,136218,70588,5006
2024-09,Südvorstadt,103898,58273,3526
2024-09,Gohlis,161476,61568,5376
2024-09,Volkmarsdorf,18029,13384,664
2024-09,Schönefeld,25868,23603,1049
2024-09,Paunsdorf,59737,30432,1582
2024-09,Reudnitz,38956,25212,1715
2024-09,Mockau,24910,17423,880
2024-09,Grünau-Mitte,30570,16212,918
2024-09,Grünau-Nord,24978,15972,708
2024-09,Grünau-Süd,27893,17112,844
2024-09,Fahrbibliothek,35473,15589,2090
2024-09,Böhlitz-Ehrenberg,50312,20466,1435
2024-09,Lützschena-Stahmeln,8311,2466,295
2024-09,Wiederitzsch,18164,3964,635
2024-09,Holzhausen,14968,3634,470
2024-09,Buchsommer,5104,,
2024-09,Onleihe,278562,156328,
2024-09,Overdrive,13663,9681,
2024-09,weitere Online-Dienste,583800,3371462,
2024-10,Stadtbibliothek,1976635,348672,26687
2024-10,Plagwitz,152408,79159,5189
2024-10,Südvorstadt,119573,64806,3673
2024-10,Gohlis,180962,68326,5567
2024-10,Volkmarsdorf,20304,15305,717
2024-10,Schönefeld,28784,25602,1149
2024-10,Paunsdorf,67089,34474,1688
2024-10,Reudnitz,43819,27937,1773
2024-10,Mockau,27556,19202,898
2024-10,Grünau-Mitte,33770,17915,942
2024-10,Grünau-Nord,27589,17690,735
2024-10,Grünau-Süd,31132,18782,880
2024-10,Fahrbibliothek,39233,17761,2179
2024-10,Böhlitz-Ehrenberg,55607,22704,1494
2024-10,Lützschena-Stahmeln,9143,2690,300
2024-10,Wiederitzsch,20215,4338,634
2024-10,Holzhausen,16486,4067,518
2024-10,Buchsommer,5104,,
2024-10,Onleihe,312108,175031,
2024-10,Overdrive,15290,10857,
2024-10,weitere Online-Dienste,655606,3754161,
2024-11,Stadtbibliothek,2173988,390392,28617
2024-11,Plagwitz,169348,87498,5515
2024-11,Südvorstadt,121089,65658,3854
2024-11,Gohlis,201307,75010,5960
2024-11,Volkmarsdorf,22862,17144,769
2024-11,Schönefeld,31631,28770,1223
2024-11,Paunsdorf,73917,38001,1812
2024-11,Reudnitz,48746,30219,1880
2024-11,Mockau,30446,21673,962
2024-11,Grünau-Mitte,37113,19637,1004
2024-11,Grünau-Nord,30348,19741,791
2024-11,Grünau-Süd,33970,20736,922
2024-11,Fahrbibliothek,44175,21966,2370
2024-11,Böhlitz-Ehrenberg,61392,25086,1565
2024-11,Lützschena-Stahmeln,10131,2955,349
2024-11,Wiederitzsch,21737,4639,663
2024-11,Holzhausen,18537,4651,546
2024-11,Buchsommer,5104,,
2024-11,Onleihe,343098,194131,
2024-11,Overdrive,17008,12007,
2024-11,weitere Online-Dienste,729487,4123045,
2024-12,Stadtbibliothek,2505734,417284,29077
2024-12,Plagwitz,209187,93625,5604
2024-12,Südvorstadt,148680,65658,3863
2024-12,Gohlis,247095,80671,6072
2024-12,Volkmarsdorf,30385,18691,786
2024-12,Schönefeld,40844,30814,1245
2024-12,Paunsdorf,90457,40589,1885
2024-12,Reudnitz,65382,32321,1919
2024-12,Mockau,36201,23008,981
2024-12,Grünau-Mitte,49655,21160,1018
2024-12,Grünau-Nord,38560,21518,805
2024-12,Grünau-Süd,43499,22467,939
2024-12,Fahrbibliothek,58275,23374,2397
2024-12,Böhlitz-Ehrenberg,73077,26964,1577
2024-12,Lützschena-Stahmeln,12502,3161,353
2024-12,Wiederitzsch,25839,4840,672
2024-12,Holzhausen,22545,4768,552
2024-12,Buchsommer,5104,,
2024-12,Onleihe,375547,212013,
2024-12,Overdrive,18690,13216,
2024-12,weitere Online-Dienste,799316,4394073,
