Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2021-01,Böhlitz-Ehrenberg,200.0,,284.0
2021-01,Fahrbibliothek,439.0,,350.0
2021-01,Gohlis,1740.0,138.0,1375.0
2021-01,Grünau-Mitte,191.0,,265.0
2021-01,Grünau-Nord,739.0,,195.0
2021-01,Grünau-Süd,151.0,,227.0
2021-01,Holzhausen,43.0,,135.0
2021-01,Lützschena-Stahmeln,85.0,,72.0
2021-01,Mockau,124.0,,183.0
2021-01,Onleihe,29283.0,13882.0,
2021-01,Overdrive,451.0,364.0,
2021-01,Paunsdorf,1506.0,720.0,471.0
2021-01,Plagwitz,1502.0,1660.0,1287.0
2021-01,Reudnitz,214.0,,426.0
2021-01,Schönefeld,325.0,3.0,219.0
2021-01,Stadtbibliothek,67372.0,2505.0,8364.0
2021-01,Südvorstadt,1733.0,1203.0,1201.0
2021-01,Volkmarsdorf,281.0,,175.0
2021-01,Wiederitzsch,115.0,,148.0
2021-01,weitere Online-Dienste,26897.0,238352.0,
2021-02,Böhlitz-Ehrenberg,891.0,105.0,102.0
2021-02,Fahrbibliothek,429.0,,92.0
2021-02,Gohlis,2672.0,301.0,293.0
2021-02,Grünau-Mitte,166.0,,56.0
2021-02,Grünau-Nord,439.0,,32.0
2021-02,Grünau-Süd,1093.0,111.0,58.0
2021-02,Holzhausen,28.0,,8.0
2021-02,Lützschena-Stahmeln,97.0,,16.0
2021-02,Mockau,115.0,,56.0
2021-02,Onleihe,26570.0,11950.0,
2021-02,Overdrive,415.0,318.0,
2021-02,Paunsdorf,1383.0,695.0,65.0
2021-02,Plagwitz,1879.0,1412.0,189.0
2021-02,Reudnitz,435.0,99.0,78.0
2021-02,Schönefeld,697.0,66.0,60.0
2021-02,Stadtbibliothek,58621.0,2921.0,1355.0
2021-02,Südvorstadt,2079.0,1690.0,187.0
2021-02,Volkmarsdorf,268.0,,38.0
2021-02,Wiederitzsch,78.0,,35.0
2021-02,weitere Online-Dienste,20421.0,252181.0,
2021-03,Böhlitz-Ehrenberg,4517.0,1014.0,273.0
2021-03,Fahrbibliothek,2032.0,483.0,225.0
2021-03,Gohlis,14022.0,4020.0,687.0
2021-03,Grünau-Mitte,3550.0,81.0,221.0
2021-03,Grünau-Nord,3514.0,1279.0,137.0
2021-03,Grünau-Süd,2872.0,880.0,154.0
2021-03,Holzhausen,1595.0,322.0,87.0
2021-03,Lützschena-Stahmeln,1162.0,277.0,81.0
2021-03,Mockau,2410.0,1402.0,163.0
2021-03,Onleihe,27267.0,12128.0,
2021-03,Overdrive,526.0,394.0,
2021-03,Paunsdorf,6969.0,3164.0,178.0
2021-03,Plagwitz,14375.0,8753.0,503.0
2021-03,Reudnitz,3885.0,1262.0,226.0
2021-03,Schönefeld,2518.0,1680.0,173.0
2021-03,Stadtbibliothek,118447.0,18824.0,2457.0
2021-03,Südvorstadt,13269.0,5225.0,487.0
2021-03,Volkmarsdorf,1784.0,865.0,101.0
2021-03,Wiederitzsch,2572.0,807.0,144.0
2021-03,weitere Online-Dienste,26787.0,303677.0,
2021-04,Böhlitz-Ehrenberg,4762.0,1154.0,90.0
2021-04,Fahrbibliothek,2603.0,885.0,112.0
2021-04,Gohlis,14444.0,3718.0,249.0
2021-04,Grünau-Mitte,3584.0,1283.0,46.0
2021-04,Grünau-Nord,3502.0,2475.0,46.0
2021-04,Grünau-Süd,3204.0,876.0,46.0
2021-04,Holzhausen,1481.0,331.0,36.0
2021-04,Lützschena-Stahmeln,1031.0,259.0,9.0
2021-04,Mockau,2613.0,1637.0,34.0
2021-04,Onleihe,25824.0,14561.0,
2021-04,Overdrive,443.0,332.0,
2021-04,Paunsdorf,6099.0,2413.0,68.0
2021-04,Plagwitz,14143.0,6598.0,247.0
2021-04,Reudnitz,3126.0,1201.0,79.0
2021-04,Schönefeld,2369.0,1532.0,41.0
2021-04,Stadtbibliothek,151079.0,19091.0,1329.0
2021-04,Südvorstadt,13689.0,5406.0,210.0
