Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2021-01,Stadtbibliothek,67372,2505,8364
2021-01,Plagwitz,1502,1660,1287
2021-01,Südvorstadt,1733,1203,1201
2021-01,Gohlis,1740,138,1375
2021-01,Volkmarsdorf,281,,175
2021-01,Schönefeld,325,3,219
2021-01,Paunsdorf,1506,720,471
2021-01,Reudnitz,214,,426
2021-01,Mockau,124,,183
2021-01,Grünau-Mitte,191,,265
2021-01,Grünau-Nord,739,,195
2021-01,Grünau-Süd,151,,227
2021-01,Fahrbibliothek,439,,350
2021-01,Böhlitz-Ehrenberg,200,,284
2021-01,Lützschena-Stahmeln,85,,72
2021-01,Wiederitzsch,115,,148
2021-01,Holzhausen,43,,135
2021-01,Onleihe,29283,13882,
2021-01,Overdrive,451,364,
2021-01,weitere Online-Dienste,26897,238352,
2021-02,Stadtbibliothek,125993,5426,9719
2021-02,Plagwitz,3381,3072,1476
2021-02,Südvorstadt,3812,2893,1388
2021-02,Gohlis,4412,439,1668
2021-02,Volkmarsdorf,549,,213
2021-02,Schönefeld,1022,69,279
2021-02,Paunsdorf,2889,1415,536
2021-02,Reudnitz,649,99,504
2021-02,Mockau,239,,239
2021-02,Grünau-Mitte,357,,321
2021-02,Grünau-Nord,1178,,227
2021-02,Grünau-Süd,1244,111,285
2021-02,Fahrbibliothek,868,,442
2021-02,Böhlitz-Ehrenberg,1091,105,386
2021-02,Lützschena-Stahmeln,182,,88
2021-02,Wiederitzsch,193,,183
2021-02,Holzhausen,71,,143
2021-02,Onleihe,55853,25832,
2021-02,Overdrive,866,682,
2021-02,weitere Online-Dienste,47318,490533,
2021-03,Stadtbibliothek,244440,24250,12176
2021-03,Plagwitz,17756,11825,1979
2021-03,Südvorstadt,17081,8118,1875
2021-03,Gohlis,18434,4459,2355
2021-03,Volkmarsdorf,2333,865,314
2021-03,Schönefeld,3540,1749,452
2021-03,Paunsdorf,9858,4579,714
2021-03,Reudnitz,4534,1361,730
2021-03,Mockau,2649,1402,402
2021-03,Grünau-Mitte,3907,81,542
2021-03,Grünau-Nord,4692,1279,364
2021-03,Grünau-Süd,4116,991,439
2021-03,Fahrbibliothek,2900,483,667
2021-03,Böhlitz-Ehrenberg,5608,1119,659
2021-03,Lützschena-Stahmeln,1344,277,169
2021-03,Wiederitzsch,2765,807,327
2021-03,Holzhausen,1666,322,230
2021-03,Onleihe,83120,37960,
2021-03,Overdrive,1392,1076,
2021-03,weitere Online-Dienste,74105,794210,
2021-04,Stadtbibliothek,395519,43341,13505
2021-04,Plagwitz,31899,18423,2226
2021-04,Südvorstadt,30770,13524,2085
2021-04,Gohlis,32878,8177,2604
2021-04,Volkmarsdorf,4146,1953,339
2021-04,Schönefeld,5909,3281,493
2021-04,Paunsdorf,15957,6992,782
2021-04,Reudnitz,7660,2562,809
2021-04,Mockau,5262,3039,436
2021-04,Grünau-Mitte,7491,1364,588
2021-04,Grünau-Nord,8194,3754,410
2021-04,Grünau-Süd,7320,1867,485
2021-04,Fahrbibliothek,5503,1368,779
2021-04,Böhlitz-Ehrenberg,10370,2273,749
2021-04,Lützschena-Stahmeln,2375,536,178
2021-04,Wiederitzsch,4771,2429,349
2021-04,Holzhausen,3147,653,266
2021-04,Onleihe,108944,52521,
2021-04,Overdrive,1835,1408,
2021-04,weitere Online-Dienste,101921,1043536,
2021-05,Stadtbibliothek,558432,61407,14349
2021-05,Plagwitz,45034,24247,2380
2021-05,Südvorstadt,43156,18644,2217
2021-05,Gohlis,46685,11717,2748
2021-05,Volkmarsdorf,6281,2972,357
2021-05,Schönefeld,8229,4549,515
2021-05,Paunsdorf,22143,9422,823
2021-05,Reudnitz,10415,3617,839
2021-05,Mockau,7434,4411,464
2021-05,Grünau-Mitte,10905,2754,620
2021-05,Grünau-Nord,11678,4910,438
2021-05,Grünau-Süd,10651,2782,509
2021-05,Fahrbibliothek,7507,1798,814
2021-05,Böhlitz-Ehrenberg,14488,3305,799
2021-05,Lützschena-Stahmeln,3162,741,187
2021-05,Wiederitzsch,6662,3420,373
2021-05,Holzhausen,4782,1035,279
2021-05,Onleihe,135258,67549,
2021-05,Overdrive,2308,1750,
2021-05,weitere Online-Dienste,129597,1311318,
2021-06,Stadtbibliothek,731441,85246,15215
2021-06,Plagwitz,57155,30077,2538
2021-06,Südvorstadt,54571,23616,2345
2021-06,Gohlis,59685,15556,2905
2021-06,Volkmarsdorf,7949,4018,372
2021-06,Schönefeld,11154,6285,542
2021-06,Paunsdorf,27841,11745,862
2021-06,Reudnitz,13604,4927,891
2021-06,Mockau,9511,5826,495
2021-06,Grünau-Mitte,14196,4951,650
2021-06,Grünau-Nord,15448,6278,455
2021-06,Grünau-Süd,13283,3910,530
2021-06,Fahrbibliothek,10067,2745,874
2021-06,Böhlitz-Ehrenberg,18989,4494,837
2021-06,Lützschena-Stahmeln,4108,979,192
2021-06,Wiederitzsch,8545,4410,388
2021-06,Holzhausen,6330,1339,291
2021-06,Onleihe,159074,81185,
2021-06,Overdrive,2762,2068,
2021-06,weitere Online-Dienste,157197,1525324,
2021-07,Stadtbibliothek,913235,115724,16445
2021-07,Plagwitz,72250,37669,2762
2021-07,Südvorstadt,68784,30484,2548
2021-07,Gohlis,75775,21175,3121
2021-07,Volkmarsdorf,9925,5399,405
2021-07,Schönefeld,14194,9588,584
2021-07,Paunsdorf,35030,15030,950
2021-07,Reudnitz,17007,7036,1002
2021-07,Mockau,12173,7902,538
2021-07,Grünau-Mitte,18419,7130,691
2021-07,Grünau-Nord,19244,8323,487
2021-07,Grünau-Süd,16308,5252,570
2021-07,Fahrbibliothek,12588,3798,944
2021-07,Böhlitz-Ehrenberg,24820,6915,963
2021-07,Lützschena-Stahmeln,4966,1287,212
2021-07,Wiederitzsch,10775,5742,413
2021-07,Holzhausen,7025,1489,305
2021-07,Onleihe,185418,95631,
2021-07,Overdrive,3209,2409,
2021-07,weitere Online-Dienste,184377,1773201,
2021-08,Stadtbibliothek,1094447,142052,16781
2021-08,Plagwitz,87217,44356,2877
2021-08,Südvorstadt,81916,36659,2660
2021-08,Gohlis,91370,26064,3221
2021-08,Volkmarsdorf,11727,6598,413
