Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2017-01,Stadtbibliothek,265118,49805,11485
2017-01,Plagwitz,575,0,1334
2017-01,Südvorstadt,26713,6898,2021
2017-01,Gohlis,26074,8910,2356
2017-01,Volkmarsdorf,3754,1495,358
2017-01,Schönefeld,5408,2508,583
2017-01,Paunsdorf,11529,3963,828
2017-01,Reudnitz,6341,2512,664
2017-01,Mockau,3938,2669,454
2017-01,Grünau-Mitte,7076,2966,680
2017-01,Grünau-Nord,5612,2076,407
2017-01,Grünau-Süd,5565,2205,437
2017-01,Fahrbibliothek,7170,2864,1322
2017-01,Böhlitz-Ehrenberg,8008,2690,681
2017-01,Lützschena-Stahmeln,1571,417,163
2017-01,Wiederitzsch,4349,2347,415
2017-01,Holzhausen,2602,436,225
2017-01,Onleihe,11009,11920,
2017-01,Buchsommer,,,
2017-02,Stadtbibliothek,515442,91191,13666
2017-02,Plagwitz,1242,0,1549
2017-02,Südvorstadt,50766,13659,2362
2017-02,Gohlis,49923,16896,2741
2017-02,Volkmarsdorf,6989,2881,413
2017-02,Schönefeld,10440,5305,684
2017-02,Paunsdorf,21944,7368,964
2017-02,Reudnitz,11868,5202,804
2017-02,Mockau,7609,5190,528
2017-02,Grünau-Mitte,12609,5485,764
2017-02,Grünau-Nord,11100,4498,479
2017-02,Grünau-Süd,11682,4300,527
2017-02,Fahrbibliothek,14452,5809,1661
2017-02,Böhlitz-Ehrenberg,15493,5175,812
2017-02,Lützschena-Stahmeln,3122,785,181
2017-02,Wiederitzsch,7905,4392,474
2017-02,Holzhausen,4933,855,248
2017-02,Onleihe,22607,23308,
2017-02,Buchsommer,,,
2017-03,Stadtbibliothek,781151,143069,15092
2017-03,Plagwitz,2355,0,1684
2017-03,Südvorstadt,77350,21554,2565
2017-03,Gohlis,76137,25666,3056
2017-03,Volkmarsdorf,10418,4444,460
2017-03,Schönefeld,16054,7847,752
2017-03,Paunsdorf,33421,11174,1040
2017-03,Reudnitz,18118,8105,890
2017-03,Mockau,11952,8413,596
2017-03,Grünau-Mitte,16182,7159,814
2017-03,Grünau-Nord,16918,6681,526
2017-03,Grünau-Süd,18176,6727,566
2017-03,Fahrbibliothek,24895,10165,1885
2017-03,Böhlitz-Ehrenberg,23594,7746,891
2017-03,Lützschena-Stahmeln,4312,1143,194
2017-03,Wiederitzsch,12432,6696,556
2017-03,Holzhausen,7258,1316,269
2017-03,Onleihe,34574,33998,
2017-03,Buchsommer,,,
2017-04,Stadtbibliothek,999302,180172,16214
2017-04,Plagwitz,11472,4524,1928
2017-04,Südvorstadt,99073,28007,2714
2017-04,Gohlis,97106,32912,3279
2017-04,Volkmarsdorf,13251,5616,485
2017-04,Schönefeld,20795,10281,792
2017-04,Paunsdorf,43505,14558,1149
2017-04,Reudnitz,23063,10503,943
2017-04,Mockau,15325,10629,627
2017-04,Grünau-Mitte,18520,8111,836
2017-04,Grünau-Nord,22249,9040,553
2017-04,Grünau-Süd,23498,8384,584
2017-04,Fahrbibliothek,32283,13046,1994
2017-04,Böhlitz-Ehrenberg,30312,10406,957
2017-04,Lützschena-Stahmeln,5174,1385,199
2017-04,Wiederitzsch,15414,8092,580
2017-04,Holzhausen,9490,1673,282
2017-04,Onleihe,46620,44049,
2017-04,Buchsommer,,,
2017-05,Stadtbibliothek,1236569,214804,17086
2017-05,Plagwitz,30809,11985,2244
2017-05,Südvorstadt,120781,34619,2838
2017-05,Gohlis,119516,39194,3428
2017-05,Volkmarsdorf,16112,7544,520
2017-05,Schönefeld,26159,13058,839
2017-05,Paunsdorf,54179,17966,1216
2017-05,Reudnitz,27937,12460,976
2017-05,Mockau,18921,13205,656
2017-05,Grünau-Mitte,18947,8111,848
2017-05,Grünau-Nord,27968,11537,577
2017-05,Grünau-Süd,29315,10518,629
2017-05,Fahrbibliothek,39617,16316,2064
2017-05,Böhlitz-Ehrenberg,36853,12457,1003
2017-05,Lützschena-Stahmeln,6521,1766,206
2017-05,Wiederitzsch,17976,9380,593
2017-05,Holzhausen,11604,2035,299
2017-05,Onleihe,58216,55548,
2017-05,Buchsommer,,,
2017-06,Stadtbibliothek,1455409,248471,17851
2017-06,Plagwitz,50484,19696,2532
2017-06,Südvorstadt,143352,41436,2954
2017-06,Gohlis,141962,46582,3566
2017-06,Volkmarsdorf,19091,9368,559
2017-06,Schönefeld,31554,15578,866
2017-06,Paunsdorf,65072,21472,1282
2017-06,Reudnitz,32421,14755,1029
2017-06,Mockau,22390,16201,689
2017-06,Grünau-Mitte,22782,9952,911
2017-06,Grünau-Nord,32401,13425,594
2017-06,Grünau-Süd,34226,12404,652
2017-06,Fahrbibliothek,44974,18789,2118
2017-06,Böhlitz-Ehrenberg,43360,14999,1056
2017-06,Lützschena-Stahmeln,7775,2039,219
2017-06,Wiederitzsch,22268,11671,619
2017-06,Holzhausen,13535,2476,314
2017-06,Onleihe,70199,67164,
2017-06,Buchsommer,,,
2017-07,Stadtbibliothek,1642609,275421,18589
2017-07,Plagwitz,67100,25801,2737
2017-07,Südvorstadt,160812,46751,3064
2017-07,Gohlis,159705,52302,3703
2017-07,Volkmarsdorf,21427,10429,574
2017-07,Schönefeld,35369,17014,888
2017-07,Paunsdorf,72967,24329,1314
2017-07,Reudnitz,36528,16847,1067
2017-07,Mockau,25026,18001,703
2017-07,Grünau-Mitte,26747,11512,937
2017-07,Grünau-Nord,36242,14998,607
2017-07,Grünau-Süd,37838,14039,665
2017-07,Fahrbibliothek,46698,19637,2143
2017-07,Böhlitz-Ehrenberg,48472,16864,1097
2017-07,Lützschena-Stahmeln,8838,2304,229
2017-07,Wiederitzsch,24573,12827,635
2017-07,Holzhausen,15345,2847,326
2017-07,Onleihe,83419,81130,
2017-07,Buchsommer,,,
2017-08,Stadtbibliothek,1886135,309629,19491
2017-08,Plagwitz,87238,33574,2938
2017-08,Südvorstadt,182800,53532,3178
2017-08,Gohlis,183665,59914,3869
2017-08,Volkmarsdorf,24322,11942,591
2017-08,Schönefeld,40872,19631,989
2017-08,Paunsdorf,83144,27496,1362
2017-08,Reudnitz,41790,19124,1121
2017-08,Mockau,28445,19959,732
2017-08,Grünau-Mitte,31457,13342,965
2017-08,Grünau-Nord,40672,17002,640
2017-08,Grünau-Süd,41989,15395,684
2017-08,Fahrbibliothek,53419,22762,2292
2017-08,Böhlitz-Ehrenberg,55569,19048,1128
2017-08,Lützschena-Stahmeln,10055,2617,238
2017-08,Wiederitzsch,27007,14147,650
2017-08,Holzhausen,16882,3138,335
2017-08,Onleihe,96341,93536,
2017-08,Buchsommer,4119,,
2017-09,Stadtbibliothek,2134468,346319,20341
2017-09,Plagwitz,108953,41251,3144
2017-09,Südvorstadt,207593,62086,3287
2017-09,Gohlis,207129,67916,4052
2017-09,Volkmarsdorf,26955,13379,608
2017-09,Schönefeld,46355,22696,1093
2017-09,Paunsdorf,93694,30878,1427
2017-09,Reudnitz,46768,21435,1175
2017-09,Mockau,32467,21733,790
2017-09,Grünau-Mitte,36769,15194,997
2017-09,Grünau-Nord,45367,18712,668
2017-09,Grünau-Süd,46593,16746,706
2017-09,Fahrbibliothek,60489,26360,2490
2017-09,Böhlitz-Ehrenberg,62718,21035,1173
2017-09,Lützschena-Stahmeln,11438,2957,244
2017-09,Wiederitzsch,30766,16145,673
2017-09,Holzhausen,19426,3546,352
2017-09,Onleihe,107664,105291,
2017-09,Buchsommer,4119,,
2017-10,Stadtbibliothek,2378056,393990,21228
2017-10,Plagwitz,130718,49062,3303
2017-10,Südvorstadt,231276,69570,3390
2017-10,Gohlis,229661,75209,4213
2017-10,Volkmarsdorf,29674,14769,617
2017-10,Schönefeld,51777,25213,1127
2017-10,Paunsdorf,103788,34166,1500
2017-10,Reudnitz,51864,23756,1220
2017-10,Mockau,36110,23507,819
2017-10,Grünau-Mitte,42344,17398,1040
