Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2023-01,Stadtbibliothek,210073,38883,14071
2023-01,Plagwitz,17941,9856,2736
2023-01,Südvorstadt,14989,7442,2173
2023-01,Gohlis,19746,6929,3105
2023-01,Volkmarsdorf,2739,1732,383
2023-01,Schönefeld,2994,2038,557
2023-01,Paunsdorf,7530,3513,864
2023-01,Reudnitz,5410,2822,924
2023-01,Mockau,3081,2064,507
2023-01,Grünau-Mitte,3693,2015,594
2023-01,Grünau-Nord,3777,1740,416
2023-01,Grünau-Süd,3893,1668,510
2023-01,Fahrbibliothek,5698,2287,1374
2023-01,Böhlitz-Ehrenberg,6531,2401,819
2023-01,Lützschena-Stahmeln,1240,354,193
2023-01,Wiederitzsch,2677,920,439
2023-01,Holzhausen,2319,510,304
2023-01,Onleihe,29288,16475,
2023-01,Overdrive,1040,725,
2023-01,weitere Online-Dienste,46504,346068,
2023-02,Stadtbibliothek,411074,77121,16368
2023-02,Plagwitz,33696,18636,3251
2023-02,Südvorstadt,28272,13963,2514
2023-02,Gohlis,37010,13340,3575
2023-02,Volkmarsdorf,5311,3167,460
2023-02,Schönefeld,5684,4220,651
2023-02,Paunsdorf,14803,6908,1035
2023-02,Reudnitz,9850,5695,1071
2023-02,Mockau,6210,4491,608
2023-02,Grünau-Mitte,7274,3716,681
2023-02,Grünau-Nord,6734,3258,462
2023-02,Grünau-Süd,7285,3494,592
2023-02,Fahrbibliothek,9922,2400,1543
2023-02,Böhlitz-Ehrenberg,11957,4732,920
2023-02,Lützschena-Stahmeln,2244,666,220
2023-02,Wiederitzsch,4510,1526,488
2023-02,Holzhausen,3836,900,335
2023-02,Onleihe,57122,31646,
2023-02,Overdrive,2064,1447,
2023-02,weitere Online-Dienste,94145,650073,
2023-03,Stadtbibliothek,629928,117675,18123
2023-03,Plagwitz,49512,27643,3589
2023-03,Südvorstadt,42536,21800,2765
2023-03,Gohlis,56599,21352,3938
2023-03,Volkmarsdorf,7916,5099,499
2023-03,Schönefeld,8673,7557,771
2023-03,Paunsdorf,21924,10752,1145
2023-03,Reudnitz,14857,8910,1199
2023-03,Mockau,9383,6781,670
2023-03,Grünau-Mitte,11089,5629,726
2023-03,Grünau-Nord,9980,5397,490
2023-03,Grünau-Süd,11336,5664,648
2023-03,Fahrbibliothek,16212,4099,1691
2023-03,Böhlitz-Ehrenberg,18022,7085,1005
2023-03,Lützschena-Stahmeln,3489,1016,270
2023-03,Wiederitzsch,7168,2265,532
2023-03,Holzhausen,5864,1378,359
2023-03,Onleihe,86670,48346,
2023-03,Overdrive,3224,2250,
2023-03,weitere Online-Dienste,147190,970060,
2023-04,Stadtbibliothek,821327,153501,19280
2023-04,Plagwitz,63178,33300,3788
2023-04,Südvorstadt,55565,27958,2905
2023-04,Gohlis,73503,27711,4138
2023-04,Volkmarsdorf,9856,6497,521
2023-04,Schönefeld,11097,9649,801
2023-04,Paunsdorf,28349,13737,1204
2023-04,Reudnitz,18770,11191,1249
