Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2022-01,Stadtbibliothek,195765,30034,11989
2022-01,Plagwitz,15470,8562,2051
2022-01,Südvorstadt,13856,6579,1888
2022-01,Gohlis,17393,6418,2449
2022-01,Volkmarsdorf,2481,2440,306
2022-01,Schönefeld,2639,2078,472
2022-01,Paunsdorf,6348,2410,701
2022-01,Reudnitz,4357,2142,754
2022-01,Mockau,2681,1434,392
2022-01,Grünau-Mitte,3848,2092,531
2022-01,Grünau-Nord,3653,1508,370
2022-01,Grünau-Süd,3255,1599,447
2022-01,Fahrbibliothek,2639,580,637
2022-01,Böhlitz-Ehrenberg,4962,2106,707
2022-01,Lützschena-Stahmeln,880,233,160
2022-01,Wiederitzsch,819,,286
2022-01,Holzhausen,1884,437,261
2022-01,Onleihe,26509,15619,
2022-01,Overdrive,603,442,
2022-01,weitere Online-Dienste,41940,291188,
2022-02,Stadtbibliothek,382127,58332,13790
2022-02,Plagwitz,29969,16565,2417
2022-02,Südvorstadt,26185,12249,2163
2022-02,Gohlis,31930,11873,2748
2022-02,Volkmarsdorf,4588,4081,356
2022-02,Schönefeld,5351,3615,545
2022-02,Paunsdorf,12860,5434,807
2022-02,Reudnitz,8015,4068,849
2022-02,Mockau,5428,3161,433
2022-02,Grünau-Mitte,7346,4224,600
2022-02,Grünau-Nord,6614,4577,409
2022-02,Grünau-Süd,6612,3225,510
2022-02,Fahrbibliothek,4659,1070,727
2022-02,Böhlitz-Ehrenberg,9749,4098,812
2022-02,Lützschena-Stahmeln,1763,466,184
2022-02,Wiederitzsch,2132,731,330
2022-02,Holzhausen,3587,813,289
2022-02,Onleihe,52140,29963,
2022-02,Overdrive,1244,885,
2022-02,weitere Online-Dienste,78041,528383,
2022-03,Stadtbibliothek,587665,92176,15109
2022-03,Plagwitz,44676,25072,2740
2022-03,Südvorstadt,39192,18761,2334
2022-03,Gohlis,47554,18064,2976
2022-03,Volkmarsdorf,7341,6218,444
2022-03,Schönefeld,8460,5613,595
2022-03,Paunsdorf,19428,8602,894
2022-03,Reudnitz,12082,6382,972
2022-03,Mockau,8245,4693,471
2022-03,Grünau-Mitte,10646,5738,648
2022-03,Grünau-Nord,10307,5909,436
2022-03,Grünau-Süd,10034,4799,564
2022-03,Fahrbibliothek,7114,1776,783
2022-03,Böhlitz-Ehrenberg,14463,5965,893
2022-03,Lützschena-Stahmeln,2804,738,192
2022-03,Wiederitzsch,4184,1775,380
2022-03,Holzhausen,5432,1187,306
2022-03,Onleihe,77963,44967,
2022-03,Overdrive,1906,1364,
2022-03,weitere Online-Dienste,115366,760768,
2022-04,Stadtbibliothek,759417,121824,16210
2022-04,Plagwitz,57644,31977,2996
2022-04,Südvorstadt,50931,27657,2553
2022-04,Gohlis,61749,23595,3168
2022-04,Volkmarsdorf,9507,7408,467
2022-04,Schönefeld,10602,7141,616
2022-04,Paunsdorf,25338,11384,971
2022-04,Reudnitz,15618,8307,1046
2022-04,Mockau,10840,6327,514
2022-04,Grünau-Mitte,13575,7130,691
2022-04,Grünau-Nord,13258,7315,476
2022-04,Grünau-Süd,13558,6381,599
2022-04,Fahrbibliothek,9298,2317,821
2022-04,Böhlitz-Ehrenberg,18519,7200,941
2022-04,Lützschena-Stahmeln,3560,935,226
2022-04,Wiederitzsch,6157,2836,438
2022-04,Holzhausen,6674,1485,315
2022-04,Onleihe,103951,59956,
2022-04,Overdrive,2499,1801,
2022-04,weitere Online-Dienste,149357,977439,
2022-05,Stadtbibliothek,936642,150382,17212
2022-05,Plagwitz,70855,39207,3165
2022-05,Südvorstadt,62133,33526,2739
2022-05,Gohlis,77322,29403,3495
2022-05,Volkmarsdorf,12037,9066,492
2022-05,Schönefeld,12252,8010,642
2022-05,Paunsdorf,32370,14229,1058
2022-05,Reudnitz,19429,10595,1132
2022-05,Mockau,13402,7982,580
2022-05,Grünau-Mitte,16883,8624,763
2022-05,Grünau-Nord,17252,8246,504
2022-05,Grünau-Süd,17236,8312,632
2022-05,Fahrbibliothek,12452,3291,1064
2022-05,Böhlitz-Ehrenberg,22730,8433,982
2022-05,Lützschena-Stahmeln,4316,1198,234
2022-05,Wiederitzsch,8094,3975,463
2022-05,Holzhausen,7982,1763,331
2022-05,Onleihe,129851,74956,
2022-05,Overdrive,3056,2225,
2022-05,weitere Online-Dienste,183444,1185385,
2022-06,Stadtbibliothek,1104654,178826,18026
2022-06,Plagwitz,84264,46205,3463
2022-06,Südvorstadt,73334,39324,2903
2022-06,Gohlis,92246,34728,3759
2022-06,Volkmarsdorf,13864,10666,501
2022-06,Schönefeld,13533,8901,661
2022-06,Paunsdorf,38697,17210,1121
2022-06,Reudnitz,23605,13031,1205
2022-06,Mockau,15785,9278,609
2022-06,Grünau-Mitte,20011,11299,821
2022-06,Grünau-Nord,18702,8894,525
2022-06,Grünau-Süd,20896,10804,662
2022-06,Fahrbibliothek,16346,4843,1427
2022-06,Böhlitz-Ehrenberg,27128,10113,1048
2022-06,Lützschena-Stahmeln,5208,1465,245
2022-06,Wiederitzsch,10098,5213,483
2022-06,Holzhausen,9262,2055,350
2022-06,Onleihe,152141,86475,
2022-06,Overdrive,3642,2656,
2022-06,weitere Online-Dienste,218409,1402692,
2022-07,Stadtbibliothek,1269293,212029,19038
2022-07,Plagwitz,98192,53205,3746
2022-07,Südvorstadt,85478,45957,3052
2022-07,Gohlis,107556,40323,3999
2022-07,Volkmarsdorf,15743,12246,533
2022-07,Schönefeld,14762,10603,682
2022-07,Paunsdorf,45122,20669,1196
2022-07,Reudnitz,27859,15178,1310
2022-07,Mockau,17899,11045,638
2022-07,Grünau-Mitte,22987,13433,900
2022-07,Grünau-Nord,20099,9669,543
2022-07,Grünau-Süd,24406,12942,701
2022-07,Fahrbibliothek,18750,5696,1536
2022-07,Böhlitz-Ehrenberg,31976,12195,1126
2022-07,Lützschena-Stahmeln,6201,1722,258
2022-07,Wiederitzsch,12123,6869,523
2022-07,Holzhausen,10393,2303,355
2022-07,Onleihe,183490,101684,
2022-07,Overdrive,4358,3145,
2022-07,weitere Online-Dienste,254258,1705612,
2022-08,Stadtbibliothek,1458014,244949,19966
2022-08,Plagwitz,112851,65188,3904
2022-08,Südvorstadt,97255,52349,3158
2022-08,Gohlis,124095,46018,4157
2022-08,Volkmarsdorf,18093,13511,545
2022-08,Schönefeld,16180,11227,702
2022-08,Paunsdorf,51977,23459,1233
2022-08,Reudnitz,32374,17646,1350
2022-08,Mockau,20595,12808,666
2022-08,Grünau-Mitte,26327,14783,928
2022-08,Grünau-Nord,22724,10481,558
2022-08,Grünau-Süd,28403,14225,731
2022-08,Fahrbibliothek,20132,6116,1589
2022-08,Böhlitz-Ehrenberg,37784,14491,1197
2022-08,Lützschena-Stahmeln,6917,1927,267
2022-08,Wiederitzsch,13414,7793,537
2022-08,Holzhausen,11308,2504,361
2022-08,Buchsommer,5418,,
2022-08,Onleihe,212584,117265,
2022-08,Overdrive,4962,3585,
2022-08,weitere Online-Dienste,289940,1961768,
2022-09,Stadtbibliothek,1648311,279606,20994
2022-09,Plagwitz,128052,72545,4210
2022-09,Südvorstadt,110911,59192,3419
2022-09,Gohlis,141930,52788,4349
2022-09,Volkmarsdorf,20903,14929,611
2022-09,Schönefeld,18497,12701,786
2022-09,Paunsdorf,58878,26536,1328
2022-09,Reudnitz,36846,20333,1451
2022-09,Mockau,23285,21891,720
2022-09,Grünau-Mitte,30088,16542,958
2022-09,Grünau-Nord,25735,10509,577
2022-09,Grünau-Süd,32361,15820,763
2022-09,Fahrbibliothek,24977,7114,1813
2022-09,Böhlitz-Ehrenberg,45068,16665,1270
2022-09,Lützschena-Stahmeln,8205,2255,279
2022-09,Wiederitzsch,16029,9489,633
2022-09,Holzhausen,13134,2926,402
2022-09,Buchsommer,5418,,
2022-09,Onleihe,237814,131297,
2022-09,Overdrive,5709,4119,
2022-09,weitere Online-Dienste,335221,2241157,
2022-10,Stadtbibliothek,1828167,316229,21935
2022-10,Plagwitz,143112,81154,4390
2022-10,Südvorstadt,122900,65049,3526
2022-10,Gohlis,157486,57679,4563
2022-10,Volkmarsdorf,22720,16167,624
2022-10,Schönefeld,20670,13560,805
2022-10,Paunsdorf,65382,29445,1395
2022-10,Reudnitz,41116,22825,1498
2022-10,Mockau,25823,23676,779
2022-10,Grünau-Mitte,33613,17990,977
2022-10,Grünau-Nord,28507,11358,598
2022-10,Grünau-Süd,35832,17461,788
2022-10,Fahrbibliothek,27891,8438,1992
2022-10,Böhlitz-Ehrenberg,48103,17765,1302
2022-10,Lützschena-Stahmeln,9092,2481,292
2022-10,Wiederitzsch,18155,10137,665
2022-10,Holzhausen,14382,3218,410
2022-10,Buchsommer,5418,,
2022-10,Onleihe,266399,149254,
2022-10,Overdrive,6501,4693,
2022-10,weitere Online-Dienste,376908,2481924,
2022-11,Stadtbibliothek,2021158,355431,23761
2022-11,Plagwitz,158789,90561,4787
2022-11,Südvorstadt,137017,72103,3764
2022-11,Gohlis,175678,64020,4989
2022-11,Volkmarsdorf,25539,17632,667
2022-11,Schönefeld,22614,14487,850
2022-11,Paunsdorf,71948,32975,1543
2022-11,Reudnitz,45707,25678,1596
2022-11,Mockau,28421,25297,825
2022-11,Grünau-Mitte,37061,20040,1059
2022-11,Grünau-Nord,31763,13138,633
2022-11,Grünau-Süd,39443,18983,830
2022-11,Fahrbibliothek,33272,10808,2111
2022-11,Böhlitz-Ehrenberg,50322,18507,1346
2022-11,Lützschena-Stahmeln,10354,2763,308
2022-11,Wiederitzsch,21063,11218,768
2022-11,Holzhausen,16078,3581,431
2022-11,Buchsommer,5418,,
2022-11,Onleihe,291910,161142,
2022-11,Overdrive,7228,5229,
2022-11,weitere Online-Dienste,422560,2752802,
2022-12,Stadtbibliothek,2177237,378969,24239
2022-12,Plagwitz,202241,97177,4859
2022-12,Südvorstadt,160910,77169,3796
2022-12,Gohlis,202092,69011,5064
2022-12,Volkmarsdorf,30623,18709,683
2022-12,Schönefeld,27329,15206,863
2022-12,Paunsdorf,81260,35338,1559
2022-12,Reudnitz,56152,27456,1657
2022-12,Mockau,33110,26846,841
2022-12,Grünau-Mitte,44505,21222,1069
2022-12,Grünau-Nord,36698,14167,649
2022-12,Grünau-Süd,46449,20203,840
2022-12,Fahrbibliothek,40326,11875,2133
2022-12,Böhlitz-Ehrenberg,55584,19927,1366
2022-12,Lützschena-Stahmeln,11869,3015,314
2022-12,Wiederitzsch,23876,11615,775
2022-12,Holzhausen,18470,3765,436
2022-12,Buchsommer,5418,,
2022-12,Onleihe,319916,176233,
2022-12,Overdrive,8120,5842,
2022-12,weitere Online-Dienste,463617,2986343,
